season,team,sp_overall,sp_off,sp_def
2017,Middle Tennessee,-4.9,21.2,26.8
2017,Army,-5.3,32.1,35.0
2017,Eastern Michigan,-5.3,22.0,26.4
2017,Rutgers,-5.5,23.3,29.0
2017,Louisiana Tech,-5.5,26.8,32.7
2017,Tulane,-5.7,28.5,35.0
2017,Cincinnati,-6.4,23.3,28.2
2017,Illinois,-7.4,21.6,29.9
2017,BYU,-7.4,18.6,25.8
2017,Central Michigan,-8.6,21.4,28.2
2017,New Mexico State,-9.4,24.5,32.6
2017,Massachusetts,-9.7,24.1,31.9
2017,Bowling Green,-10.0,27.5,38.9
2017,Florida International,-10.4,24.0,35.0
2017,Tulsa,-10.7,27.3,37.8
2017,Air Force,-11.0,28.8,40.5
2017,Buffalo,-11.2,24.9,33.9
2017,South Alabama,-12.0,18.3,31.4
2017,New Mexico,-12.4,20.8,34.2
2017,Idaho,-12.4,18.7,30.2
2017,Oregon State,-12.6,28.8,39.9
2017,UL Monroe,-12.9,32.3,45.5
2017,East Carolina,-14.0,27.2,41.8
2017,Georgia State,-14.0,17.0,28.6
2017,UNLV,-14.5,26.2,39.8
2017,Kansas,-14.8,21.6,36.7
2017,Louisiana,-15.8,27.5,42.9
2017,Georgia Southern,-15.8,18.3,35.5
2017,Nevada,-16.4,25.6,41.1
2017,Old Dominion,-16.8,16.3,32.8
2017,Akron,-17.6,24.1,39.6
2017,UConn,-19.2,22.4,40.7
2017,Ball State,-19.7,20.3,37.7
2017,Hawai'i,-19.7,23.3,40.4
2017,San José State,-20.0,15.2,37.5
2017,Kent State,-20.2,14.3,32.4
2017,Texas State,-23.5,14.7,36.9
2017,Rice,-23.6,19.2,40.9
2017,Charlotte,-26.1,13.7,37.7
2017,UTEP,-27.4,12.8,38.7
2017,nationalAverages,1.66953125,28.9046875,27.23515625
2018,Alabama,36.3,50.9,14.2
2018,Georgia,32.9,45.9,14.2
2018,Clemson,29.7,43.0,12.6
2018,Oklahoma,24.9,54.0,30.0
2018,LSU,24.2,34.8,13.4
2018,Ohio State,24.1,44.4,21.2
2018,Auburn,23.6,36.9,14.1
2018,Mississippi State,23.2,34.6,10.5
2018,Florida,23.0,38.6,17.4
2018,Michigan,22.0,35.5,14.3
